Team ID,Binary,Cell ID,Team Name,Seed,Image Link
0,0,64,Gonzaga,1,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2250.png
1,1,65,Georgia State,16,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2247.png
2,10,66,Boise State,8,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/68.png
3,11,67,Memphis,9,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/235.png
4,100,68,UConn,5,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/41.png
5,101,69,New Mexico St,12,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/166.png
6,110,70,Arkansas,4,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/8.png
7,111,71,Vermont,13,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/261.png
8,1000,72,Alabama,6,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png
9,1001,73,Notre Dame,11,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png
10,1010,74,Texas Tech,3,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2641.png
11,1011,75,Montana State,14,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/147.png
12,1100,76,Michigan State,7,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png
13,1101,77,Davidson,10,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2166.png
14,1110,78,Duke,2,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png
15,1111,79,CSU Fullerton,15,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2239.png
16,10000,80,Baylor,1,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/239.png
17,10001,81,Norfolk State,16,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2450.png
18,10010,82,North Carolina,8,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png
19,10011,83,Marquette,9,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/269.png
20,10100,84,Saint Mary's,5,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2608.png
21,10101,85,Indiana,12,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/84.png
22,10110,86,UCLA,4,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/26.png
23,10111,87,Akron,13,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2006.png
24,11000,88,Texas,6,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png
25,11001,89,Virginia Tech,11,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png
26,11010,90,Purdue,3,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2509.png
27,11011,91,Yale,14,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/43.png
28,11100,92,Murray State,7,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/93.png
29,11101,93,San Francisco,10,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2539.png
30,11110,94,Kentucky,2,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/96.png
31,11111,95,Saint Peter's,15,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2612.png
32,100000,96,Arizona,1,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/12.png
33,100001,97,Wright State,16,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2750.png
34,100010,98,Seton Hall,8,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2550.png
35,100011,99,TCU,9,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2628.png
36,100100,100,Houston,5,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/248.png
37,100101,101,UAB,12,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/5.png
38,100110,102,Illinois,4,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/356.png
39,100111,103,Chattanooga,13,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/236.png
40,101000,104,Colorado State,6,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/36.png
41,101001,105,Michigan,11,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png
42,101010,106,Tennessee,3,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png
43,101011,107,Longwood,14,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2344.png
